,Customer ID,Age,Gender,Item Purchased,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Shipping Type,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases
0,3475,,Male,Jacket,30.904467042706138,Maine,M,Burnt orange,Fall,4.0,Standard,No,0,Credit Card,
1,3698,21.0,Female,Backpack,31.58825894107014,,L,Turquoise,Winter,2.0,Express,No,1,Credit Card,Monthly
2,2756,31.0,Male,Leggings,24.23170380112001,Nevada,M,Terra cotta,Winter,4.0,Standard,No,0,Credit Card,
3,3340,,Male,Pajamas,33.91883420459124,Nebraska,M,Black,Winter,,Standard,No,2,Credit Card,Bi-Weekly
4,3391,38.0,Male,Sunglasses,36.54548675825605,Oregon,S,Aubergine,Summer,,Standard,No,0,Credit Card,
5,2599,26.0,Male,Leggings,23.59513940009457,Nevada,XL,Brown,Winter,,Standard,No,3,Credit Card,Quarterly
6,2591,43.0,Male,Dress,34.07901466832033,California,M,Terra cotta,Fall,5.0,Standard,No,0,Credit Card,
7,3650,29.0,Male,Shorts,23.796438702217987,Minnesota,M,Lavender,Summer,2.0,Express,No,0,Credit Card,
8,3353,25.0,Female,Jacket,31.59500546693233,Washington,M,Mauve,Fall,4.0,Standard,No,4,Credit Card,Quarterly
9,2477,39.0,Female,Shorts,32.374103646420124,Colorado,M,Fuchsia,Summer,,Standard,No,3,Credit Card,Bi-Weekly
10,2075,45.0,Female,Jacket,35.548977999088905,Florida,M,Brown,Winter,,Standard,No,10,Credit Card,Monthly
11,3278,23.0,Male,Backpack,34.43791821557749,Texas,M,Brown,Winter,,Standard,No,2,Credit Card,Monthly
12,3341,27.0,Female,Handbag,29.43062017650549,Virginia,XL,Black,Summer,,Standard,No,2,Credit Card,Weekly
13,1722,32.0,Female,Handbag,34.15135207375548,Delaware,S,White,Summer,4.0,Standard,No,11,Credit Card,Monthly
14,3526,,Male,Shorts,31.961770634789858,Wyoming,L,Pale peach,Spring,,Express,No,8,Credit Card,Monthly
15,2087,22.0,Female,Pajamas,30.28112537407949,North Dakota,L,Aubergine,Winter,,Standard,No,3,Credit Card,Monthly
16,3590,41.0,Male,Sweater,24.125612384240817,New Hampshire,M,Burnt orange,Winter,,Standard,No,4,Credit Card,Quarterly
17,3638,45.0,Male,Handbag,23.929249202177274,Utah,L,Fuchsia,Spring,5.0,Standard,No,3,Credit Card,Quarterly
18,3738,34.0,Female,Running Shoes,33.05221581546154,Kentucky,S,Fuchsia,Spring,5.0,Standard,No,2,Credit Card,Quarterly
19,3443,,Female,Leggings,30.550298245544063,Michigan,M,Burnt orange,Winter,,Next Day Air,No,6,Credit Card,Quarterly
20,2586,35.0,Male,Hoodie,29.422894544804542,Wisconsin,L,Terra cotta,Fall,4.0,Express,No,2,Credit Card,Annually
21,3152,48.0,Male,Backpack,32.93220742533828,New Mexico,L,Burnt orange,Winter,2.0,Standard,No,0,Credit Card,
22,3512,,Female,Shorts,22.91476509104395,Mississippi,M,Pale peach,Summer,,Standard,No,8,Credit Card,Monthly
23,3068,48.0,Male,Backpack,24.64088262275734,,S,Black,Winter,,Standard,No,3,Credit Card,Quarterly
24,2280,31.0,Female,Sunglasses,31.62491258791253,West Virginia,L,Fuchsia,Spring,5.0,Express,No,1,Credit Card,Annually
25,1982,56.0,Female,Gloves,30.133872566295462,Michigan,L,Brick red,Winter,4.0,Standard,No,12,Credit Card,Annually
26,3854,30.0,Female,Hoodie,23.884982955117174,Tennessee,M,Terra cotta,Fall,,Next Day Air,No,16,Credit Card,Annually
27,2063,29.0,Male,Dress,35.44236181789174,South Carolina,L,Pale peach,Summer,,Standard,No,5,Credit Card,Monthly
28,2142,31.0,Female,Shorts,31.437097428962293,Kentucky,M,Ruby Red,Fall,,Standard,No,0,Credit Card,
29,1934,68.0,Male,Boots,36.56113784800448,,L,Aubergine,Winter,,Standard,No,13,Bank Transfer,Quarterly
30,2114,42.0,Female,Sunglasses,28.85216053714169,Virginia,M,Lavender,Spring,2.0,Standard,No,5,Credit Card,Monthly
31,2559,18.0,Female,Leggings,25.4053441138384,California,M,Aubergine,Winter,5.0,Standard,No,0,Credit Card,
32,2609,29.0,Male,Socks,26.478229671390853,Mississippi,L,Aubergine,Winter,4.0,Standard,No,13,Credit Card,Monthly
33,3408,41.0,Female,Scarf,23.79954146735968,Alabama,S,Mauve,Winter,,Standard,No,3,Credit Card,Quarterly
34,2640,22.0,Male,T-shirt,20.906412762688294,New Hampshire,XL,Baby blue,Summer,,Standard,No,4,Credit Card,Annually
35,2915,,Male,Sunglasses,25.33857425282861,Pennsylvania,M,Lavender,Summer,2.0,Standard,No,14,Credit Card,Quarterly
36,3246,50.0,Female,Dress,27.930929295771023,Kansas,M,Periwinkle,Summer,5.0,Standard,No,4,Credit Card,Annually
37,3890,,Male,T-shirt,36.329169106391,Alaska,S,Periwinkle,Summer,,Standard,No,2,Credit Card,Annually
38,2818,43.0,Male,Handbag,24.844487541982343,South Carolina,XL,Lemon yellow,Summer,,Next Day Air,No,0,Credit Card,
39,3840,29.0,Male,Hoodie,37.026951924698565,Connecticut,M,Muted mustard yellow,Winter,,Standard,No,1,Credit Card,Quarterly
40,3357,34.0,Male,Hoodie,26.05136896879994,,M,Mauve,Winter,5.0,Standard,No,3,Credit Card,Quarterly
41,3736,47.0,Male,T-shirt,35.6318247126098,Massachusetts,L,Fuchsia,Spring,4.0,Standard,No,6,Credit Card,Annually
42,1709,36.0,Female,Scarf,44.03244410744036,Florida,L,Muted mustard yellow,Winter,,Standard,No,2,Credit Card,Quarterly
43,1735,24.0,Non-binary,Hoodie,31.39146688042943,,L,Muted mustard yellow,Winter,,Standard,No,0,Credit Card,
44,3846,,Male,Sweater,34.14560502445179,California,M,Brown,Winter,5.0,Standard,No,7,Credit Card,Bi-Weekly
45,1744,40.0,Female,Running Shoes,39.67097197648154,Missouri,XL,Fuchsia,Spring,,Standard,No,1,Credit Card,Monthly
46,2740,41.0,Female,T-shirt,15.424669072035869,Alaska,XL,Mauve,Fall,,Express,No,0,Credit Card,
